epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5441,1.01526,4.10154,1.36914,0,0,0,0,0.99197,4.98569,1.62299,1.5e-05,1.5e-05,1.5e-05
2,40.7559,0.96711,4.1791,1.41276,0,0,0,0,0.79259,4.75931,1.41106,3.46535e-05,3.46535e-05,3.46535e-05
3,57.7172,0.74925,3.97536,1.17786,0,0,0,0,0.61403,4.61108,1.08107,5.3911e-05,5.3911e-05,5.3911e-05
4,74.8791,0.70272,3.87722,1.12223,0,0,0,0,0.46617,4.51492,0.94942,7.27725e-05,7.27725e-05,7.27725e-05
5,91.5414,0.70798,3.73401,1.16769,0,0,0,0,0.43648,4.49511,0.94081,9.1238e-05,9.1238e-05,9.1238e-05
6,108.131,0.70045,3.64841,1.14617,0.07703,0.5,0.30057,0.26658,0.45513,4.46887,0.93098,0.000109308,0.000109308,0.000109308
7,124.666,0.59315,3.53854,1.05114,0.06431,0.9375,0.29477,0.27222,0.47309,4.41609,0.94263,0.000126981,0.000126981,0.000126981
8,141.964,0.55092,3.44022,1.0381,0.0637,1,0.30008,0.27626,0.52754,4.34796,0.97606,0.000144259,0.000144259,0.000144259
9,158.505,0.60617,3.39327,1.05752,0.06073,1,0.24649,0.21958,0.5126,4.27185,0.97345,0.00016114,0.00016114,0.00016114
10,175.043,0.5977,3.2992,1.08238,0.06077,1,0.21794,0.19432,0.5202,4.22826,0.98072,0.000177626,0.000177626,0.000177626
11,191.654,0.60666,3.10962,1.08201,0.06325,1,0.2758,0.25232,0.49823,4.22309,0.95884,0.000193715,0.000193715,0.000193715
12,209.066,0.57307,3.08204,1.07364,0.05561,1,0.40622,0.37042,0.47852,4.13696,0.92861,0.000209408,0.000209408,0.000209408
13,225.7,0.59392,2.9029,1.03422,0.05239,1,0.41628,0.38306,0.49605,4.01912,0.9403,0.000224706,0.000224706,0.000224706
14,241.953,0.53943,2.80214,1.03273,0.05363,1,0.40627,0.36423,0.50415,3.99513,0.94779,0.000239607,0.000239607,0.000239607
15,258.246,0.57561,2.6837,0.99787,0.05427,1,0.44533,0.38625,0.57125,3.93496,1.01694,0.000254113,0.000254113,0.000254113
16,275.367,0.63159,2.67578,1.03945,0.90582,0.1875,0.46401,0.40432,0.61282,3.86418,1.09258,0.000268223,0.000268223,0.000268223
17,291.855,0.53927,2.49399,1.00055,0.8476,0.20809,0.49883,0.43371,0.59417,3.78316,1.09663,0.000281936,0.000281936,0.000281936
18,309.04,0.63537,2.53554,1.09634,0.76364,0.3125,0.52652,0.45438,0.58413,3.76358,1.08817,0.000295253,0.000295253,0.000295253
19,326.308,0.57278,2.35585,1.04077,0.6226,0.4375,0.57523,0.49874,0.5793,3.64374,1.14486,0.000308175,0.000308175,0.000308175
20,343.96,0.61114,2.2259,1.03384,0.45737,0.4705,0.57324,0.50198,0.57861,3.56242,1.11616,0.000320701,0.000320701,0.000320701
21,360.635,0.53565,2.13744,1.00644,0.54156,0.5625,0.668,0.59969,0.5498,3.41765,1.02923,0.00033283,0.00033283,0.00033283
22,377.002,0.57604,2.08802,1.05951,0.51794,0.625,0.6774,0.59619,0.56751,3.23426,1.01431,0.000344564,0.000344564,0.000344564
23,393.383,0.51778,2.01501,1.0146,0.69489,0.4375,0.69909,0.61597,0.58173,3.31835,1.01613,0.000355901,0.000355901,0.000355901
24,410.638,0.56569,2.03094,1.05613,0.76974,0.4375,0.72137,0.63162,0.57567,3.30928,1.0144,0.000366843,0.000366843,0.000366843
25,427.041,0.558,2.21596,1.08156,0.63813,0.61827,0.7344,0.64942,0.57092,3.21497,1.03491,0.000377388,0.000377388,0.000377388
26,443.622,0.50893,1.8392,0.95906,0.696,0.6183,0.7329,0.64484,0.58356,3.04611,1.07061,0.00037625,0.00037625,0.00037625
27,460.16,0.51103,1.69179,0.97285,0.63293,0.625,0.80545,0.71916,0.5758,2.82437,1.05538,0.0003713,0.0003713,0.0003713
28,477.347,0.54471,1.73178,1.0289,0.54736,0.6875,0.77902,0.69538,0.55439,2.69058,1.03627,0.00036635,0.00036635,0.00036635
29,493.946,0.56546,1.65561,1.01625,0.5136,0.71401,0.78179,0.69783,0.53508,2.72269,1.03449,0.0003614,0.0003614,0.0003614
30,510.536,0.54863,1.63104,0.99524,0.64342,0.6875,0.75103,0.67127,0.55411,2.66295,1.05139,0.00035645,0.00035645,0.00035645
31,526.917,0.54136,1.63192,1.02525,0.6348,0.75,0.82088,0.72428,0.59189,2.63373,1.07547,0.0003515,0.0003515,0.0003515
32,544.246,0.53704,1.5675,0.98614,0.61949,0.75,0.8499,0.73796,0.6038,2.626,1.08256,0.00034655,0.00034655,0.00034655
33,560.731,0.51265,1.50123,0.96323,0.76729,0.60266,0.79548,0.70324,0.58088,2.65085,1.07167,0.0003416,0.0003416,0.0003416
34,577.212,0.50387,1.49712,0.99617,0.70006,0.67562,0.7883,0.70681,0.57858,2.62828,1.06647,0.00033665,0.00033665,0.00033665
35,593.851,0.47227,1.4791,0.98109,0.69237,0.72051,0.81051,0.71702,0.58767,2.55513,1.06873,0.0003317,0.0003317,0.0003317
36,611.013,0.48347,1.43505,0.94524,0.64764,0.75,0.86752,0.76366,0.63015,2.38622,1.12511,0.00032675,0.00032675,0.00032675
37,627.533,0.45541,1.36515,0.93972,0.51216,0.81827,0.88306,0.78208,0.66376,2.28974,1.14024,0.0003218,0.0003218,0.0003218
38,644.019,0.44956,1.39427,0.94477,0.74308,0.75,0.88306,0.78232,0.6457,2.21994,1.11684,0.00031685,0.00031685,0.00031685
39,660.365,0.45849,1.31521,0.96038,0.76321,0.75,0.8416,0.74954,0.64457,2.23219,1.10796,0.0003119,0.0003119,0.0003119
40,677.583,0.47145,1.30197,0.94132,0.72009,0.75,0.86544,0.73537,0.60684,2.41915,1.07598,0.00030695,0.00030695,0.00030695
41,693.924,0.46492,1.32871,0.967,0.73177,0.6875,0.86544,0.76802,0.55889,2.56805,1.02254,0.000302,0.000302,0.000302
42,710.995,0.47096,1.25171,0.98968,0.73699,0.6875,0.87581,0.78564,0.55458,2.61955,1.02339,0.00029705,0.00029705,0.00029705
43,727.355,0.48512,1.33304,0.95654,0.61684,0.75,0.87581,0.77942,0.5715,2.47727,1.05109,0.0002921,0.0002921,0.0002921
44,744.468,0.43959,1.16663,0.97506,0.82126,0.6875,0.91727,0.81777,0.57587,2.24577,1.07231,0.00028715,0.00028715,0.00028715
45,760.804,0.45154,1.1336,0.94191,0.89454,0.6875,0.91416,0.80284,0.58362,2.10375,1.08077,0.0002822,0.0002822,0.0002822
46,777.151,0.42684,1.1477,0.93677,0.92632,0.6875,0.91416,0.81403,0.59906,2.0178,1.09823,0.00027725,0.00027725,0.00027725
47,793.697,0.49779,1.18762,0.99052,0.9111,0.6875,0.91416,0.82025,0.58341,1.95284,1.09589,0.0002723,0.0002723,0.0002723
48,811.1,0.45172,1.13643,0.9765,0.88922,0.6875,0.91727,0.8131,0.56101,1.93926,1.09082,0.00026735,0.00026735,0.00026735
49,827.492,0.39426,1.07212,0.89604,0.79135,0.75,0.91416,0.82336,0.55432,1.93858,1.09845,0.0002624,0.0002624,0.0002624
50,844.091,0.47682,1.10084,0.98358,0.78434,0.75,0.91416,0.82647,0.5515,2.01541,1.09642,0.00025745,0.00025745,0.00025745
51,860.571,0.47098,1.13977,0.92231,0.8589,0.6875,0.91416,0.8358,0.54476,2.09953,1.09838,0.0002525,0.0002525,0.0002525
52,877.805,0.3905,1.01522,0.91135,0.74093,0.75,0.90379,0.80056,0.59591,2.1932,1.10436,0.00024755,0.00024755,0.00024755
53,894.317,0.46763,1.11168,0.93038,0.80117,0.75,0.90379,0.79434,0.62582,2.17211,1.08705,0.0002426,0.0002426,0.0002426
54,910.577,0.41793,1.08421,0.96638,0.88678,0.6875,0.91208,0.79807,0.61046,2.1326,1.06806,0.00023765,0.00023765,0.00023765
55,926.887,0.42637,1.04075,0.94861,0.85118,0.6875,0.88099,0.79082,0.54654,2.06966,1.01279,0.0002327,0.0002327,0.0002327
56,944.258,0.43504,1.09316,0.92363,0.8374,0.6875,0.88099,0.80326,0.5294,2.06316,0.99764,0.00022775,0.00022775,0.00022775
57,960.556,0.39973,1.06139,0.92552,0.88277,0.6875,0.88099,0.79704,0.52724,2.03754,0.99171,0.0002228,0.0002228,0.0002228
58,976.935,0.46842,1.06564,1.02126,0.75062,0.75,0.88099,0.79704,0.55066,2.04467,1.01048,0.00021785,0.00021785,0.00021785
59,993.341,0.36269,0.96329,0.92875,0.7512,0.75,0.91208,0.80636,0.58517,2.04208,1.0619,0.0002129,0.0002129,0.0002129
60,1010.89,0.37036,0.98306,0.90442,0.87498,0.6875,0.91208,0.80015,0.60403,2.03232,1.10025,0.00020795,0.00020795,0.00020795
61,1027.28,0.39712,1.0004,0.91093,0.92133,0.6875,0.95354,0.82295,0.59918,1.95583,1.11466,0.000203,0.000203,0.000203
62,1043.6,0.33731,0.92735,0.89306,0.84751,0.75,0.93281,0.81777,0.56776,1.82651,1.10103,0.00019805,0.00019805,0.00019805
63,1059.94,0.37631,0.93846,0.92272,0.9094,0.75,0.93281,0.83953,0.54099,1.73188,1.08722,0.0001931,0.0001931,0.0001931
64,1077.32,0.38731,0.92463,0.92077,0.93096,0.75,0.96391,0.85819,0.53311,1.70456,1.08295,0.00018815,0.00018815,0.00018815
65,1093.83,0.38774,0.98068,0.9363,0.91472,0.75,0.995,0.88928,0.54007,1.71178,1.08007,0.0001832,0.0001832,0.0001832
66,1110.3,0.35203,0.84433,0.89489,0.90207,0.75,0.995,0.88928,0.56315,1.73302,1.09421,0.00017825,0.00017825,0.00017825
67,1126.83,0.35884,0.91479,0.89248,0.9117,0.75,0.96391,0.84886,0.58772,1.71488,1.11246,0.0001733,0.0001733,0.0001733
68,1144.12,0.38018,0.92709,0.91881,0.92954,0.75,0.96391,0.8613,0.59597,1.68751,1.12774,0.00016835,0.00016835,0.00016835
69,1160.58,0.38848,0.89597,0.90438,0.86465,0.8125,0.96391,0.86752,0.57681,1.6422,1.12026,0.0001634,0.0001634,0.0001634
70,1176.83,0.40395,0.9203,0.92447,0.86457,0.8125,0.96391,0.85819,0.55561,1.63461,1.10676,0.00015845,0.00015845,0.00015845
71,1193.04,0.41164,0.93123,0.95285,0.8338,0.8125,0.96391,0.85819,0.55454,1.62512,1.1154,0.0001535,0.0001535,0.0001535
72,1210.53,0.35127,0.90388,0.89967,0.67526,0.89889,0.96391,0.86752,0.56804,1.62768,1.13593,0.00014855,0.00014855,0.00014855
73,1227.11,0.39749,0.90759,0.93469,0.91884,0.75,0.96391,0.8613,0.58881,1.65585,1.16132,0.0001436,0.0001436,0.0001436
74,1243.51,0.3457,0.82941,0.88578,0.73996,0.85246,0.96391,0.84886,0.6095,1.67797,1.18439,0.00013865,0.00013865,0.00013865
75,1259.84,0.34885,0.88822,0.89251,0.74847,0.8527,0.96391,0.84886,0.61291,1.67231,1.19197,0.0001337,0.0001337,0.0001337
76,1276.89,0.37869,0.85009,0.92639,0.94747,0.75,0.96391,0.84264,0.60912,1.65382,1.18527,0.00012875,0.00012875,0.00012875
77,1293.2,0.31821,0.89996,0.89607,0.94643,0.75,0.96391,0.84264,0.60257,1.65858,1.16756,0.0001238,0.0001238,0.0001238
78,1309.53,0.35978,0.86494,0.90459,0.94819,0.75,0.96391,0.84264,0.59437,1.66087,1.14931,0.00011885,0.00011885,0.00011885
79,1325.89,0.34559,0.85635,0.89829,0.61391,1,0.96391,0.84264,0.58795,1.6493,1.13201,0.0001139,0.0001139,0.0001139
80,1343.61,0.34359,0.82364,0.89216,0.96256,0.75,0.96391,0.84886,0.58786,1.64014,1.12395,0.00010895,0.00010895,0.00010895
81,1360.29,0.34508,0.8652,0.92426,0.96297,0.75,0.96391,0.85508,0.58516,1.62042,1.11281,0.000104,0.000104,0.000104
82,1376.78,0.32832,0.83154,0.89922,0.96292,0.75,0.96391,0.8613,0.57452,1.59528,1.09874,9.905e-05,9.905e-05,9.905e-05
83,1393.41,0.34488,0.89368,0.93065,0.96389,0.75,0.96391,0.8613,0.56621,1.5733,1.08726,9.41e-05,9.41e-05,9.41e-05
84,1410.48,0.34949,0.81273,0.91749,0.96511,0.75,0.96391,0.85197,0.55806,1.56885,1.07403,8.915e-05,8.915e-05,8.915e-05
85,1426.79,0.36448,0.85045,0.94494,0.68455,0.9375,0.96391,0.85197,0.56005,1.56296,1.0683,8.42e-05,8.42e-05,8.42e-05
86,1443.11,0.3288,0.85036,0.91163,0.69108,0.9375,0.96391,0.85819,0.56745,1.56583,1.06967,7.925e-05,7.925e-05,7.925e-05
87,1459.67,0.32078,0.78628,0.94369,0.6964,0.9375,0.96391,0.86441,0.57671,1.56795,1.07479,7.43e-05,7.43e-05,7.43e-05
88,1476.51,0.349,0.86806,0.92183,0.70652,0.9375,0.96391,0.85508,0.58338,1.56515,1.08007,6.935e-05,6.935e-05,6.935e-05
89,1492.99,0.31347,0.81831,0.8873,0.80737,0.875,0.96391,0.8613,0.58975,1.56831,1.08472,6.44e-05,6.44e-05,6.44e-05
90,1509.45,0.35311,0.8073,0.90962,0.82138,0.875,0.96391,0.85508,0.58858,1.57548,1.08638,5.945e-05,5.945e-05,5.945e-05
91,1525.95,0.28289,1.27562,0.87511,0.82108,0.8656,0.96391,0.84886,0.58409,1.58347,1.08152,5.45e-05,5.45e-05,5.45e-05
92,1542.79,0.26584,1.2117,0.83667,0.80491,0.85303,0.96391,0.84264,0.58055,1.61992,1.07585,4.955e-05,4.955e-05,4.955e-05
93,1558.96,0.27347,1.21439,0.85053,0.77127,0.85335,0.96391,0.84886,0.57753,1.67984,1.07373,4.46e-05,4.46e-05,4.46e-05
94,1575.2,0.26826,1.22476,0.84919,0.95758,0.75,0.96391,0.84575,0.58132,1.748,1.07891,3.965e-05,3.965e-05,3.965e-05
95,1591.58,0.24755,1.20966,0.83453,0.9477,0.75,0.96391,0.84575,0.58382,1.79898,1.08083,3.47e-05,3.47e-05,3.47e-05
96,1608.59,0.25933,1.19892,0.84845,0.94371,0.75,0.96391,0.85197,0.5864,1.83187,1.08579,2.975e-05,2.975e-05,2.975e-05
97,1625.27,0.2698,1.35802,0.88427,0.93921,0.75,0.96391,0.85197,0.58616,1.85238,1.08534,2.48e-05,2.48e-05,2.48e-05
98,1641.52,0.27698,1.34134,0.83456,0.94015,0.75,0.96391,0.85197,0.58426,1.85806,1.08696,1.985e-05,1.985e-05,1.985e-05
99,1657.79,0.25942,1.30391,0.83545,0.94208,0.75,0.96391,0.86441,0.58158,1.85466,1.08537,1.49e-05,1.49e-05,1.49e-05
100,1674.86,0.27362,1.2613,0.85861,0.94547,0.75,0.96391,0.86441,0.57761,1.82965,1.08162,9.95e-06,9.95e-06,9.95e-06
